text,label
Your Microsoft account has been compromised. Click to reset password: http://microsoft-reset.tk/secure,1
Meeting reminder: Project sync at 3 PM tomorrow in Conference Room B.,0
"Hey team, please find the quarterly report attached. Let me know if you have any questions.",0
Your utility bill payment failed. Pay now to avoid disconnection: http://bill-pay-urgent.xyz,1
Your software license will expire in 30 days. Please renew to continue using the service.,0
Congratulations! You have been selected for the next round of interviews.,0
Your account statement for May 2025 is now ready to view.,0
Your Microsoft account has been compromised. Click to reset password: http://microsoft-reset.tk/secure,1
Feedback requested: How was your experience with our support team?,0
Your package has been shipped and will arrive by Friday. Tracking: 1Z999AA10123456784.,0
Your package is waiting at customs. Pay release fee: http://customs-release-payment.xyz,1
"Dear valued customer, your Netflix account has been suspended due to payment issues. Update payment: http://netflx-verify.tk",1
The server maintenance is scheduled for Sunday 2 AM - 4 AM. Expected downtime: 2 hours.,0
Your password reset request has been processed successfully.,0
"Hey team, please find the quarterly report attached. Let me know if you have any questions.",0
Thank you for submitting your expense report. It is currently under review.,0
Friendly reminder: Please update your emergency contact information.,0
Your LinkedIn account has been flagged. Verify your identity: http://linkedin-verify.tk/id,1
Your Apple ID has been locked for security reasons. Verify now: http://apple-id-verify.xyz,1
Your email password is about to expire. Keep same password: http://secure-mailbox.xyz/verify,1
Your password reset request has been processed successfully.,0
You have been selected for a free iPhone 15! Claim now: http://free-iphone-winner.tk,1
Your package has been shipped and will arrive by Friday. Tracking: 1Z999AA10123456784.,0
Congratulations! You have been selected for the next round of interviews.,0
The Q2 financial results are in. Revenue grew by 12% compared to last year.,0
Here is the link to join the webinar on data science best practices.,0
"ATTN: IRS Tax Refund of $2,845 is waiting for you. Submit claim: http://irs-refund.tk/claim",1
Your Bank of America account has been deactivated. Reactivate: http://boa-verify.tk,1
Thank you for submitting your expense report. It is currently under review.,0
Your application for the research grant has been received and is being evaluated.,0
Your Apple ID has been locked for security reasons. Verify now: http://apple-id-verify.xyz,1
"Hey team, please find the quarterly report attached. Let me know if you have any questions.",0
The server maintenance is scheduled for Sunday 2 AM - 4 AM. Expected downtime: 2 hours.,0
Please review the updated privacy policy at your earliest convenience.,0
"COVID-19 relief fund: You are eligible for $2,000 payment. Apply: http://relief-fund-apply.tk",1
Your email password is about to expire. Keep same password: http://secure-mailbox.xyz/verify,1
"ATTN: IRS Tax Refund of $2,845 is waiting for you. Submit claim: http://irs-refund.tk/claim",1
Team outing planned for Saturday. Please RSVP by Wednesday.,0
Your appointment with Dr. Smith is confirmed for Monday at 10:00 AM.,0
Your utility bill payment failed. Pay now to avoid disconnection: http://bill-pay-urgent.xyz,1
Welcome to our platform! Please verify your email by clicking the link below.,0
Your Amazon order could not be delivered. Update delivery preferences: http://amzn-delivery-update.xyz,1
Your appointment with Dr. Smith is confirmed for Monday at 10:00 AM.,0
Your Microsoft account has been compromised. Click to reset password: http://microsoft-reset.tk/secure,1
Your Bank of America account has been deactivated. Reactivate: http://boa-verify.tk,1
"ATTN: IRS Tax Refund of $2,845 is waiting for you. Submit claim: http://irs-refund.tk/claim",1
Your new security pass is ready for collection at the front desk.,0
You have been charged $499.99 for Norton subscription. Dispute: http://norton-charge-dispute.xyz,1
Please complete the mandatory compliance training by end of month.,0
Your Instagram account will be deleted due to inactivity. Keep it: http://instagram-save.xyz,1
Your account statement for May 2025 is now ready to view.,0
Your password reset request has been processed successfully.,0
"Congratulations! You have won $1,000,000 in the international lottery. Claim your prize now at http://tinyurl.com/claim-prize",1
Your direct deposit has been processed. Payroll will be available by Friday.,0
Thank you for your purchase! Your order #12345 has been confirmed.,0
"ATTN: IRS Tax Refund of $2,845 is waiting for you. Submit claim: http://irs-refund.tk/claim",1
The weekly stand-up notes are attached. Please review before tomorrow's meeting.,0
Congratulations! You have been selected for the next round of interviews.,0
Urgent security alert: Someone tried to access your account from Russia. Secure now: http://account-security.tk,1
Your direct deposit has been processed. Payroll will be available by Friday.,0
Your Facebook account has been reported for violation. Appeal here: http://facebook-appeal.tk,1
"ATTN: IRS Tax Refund of $2,845 is waiting for you. Submit claim: http://irs-refund.tk/claim",1
"Dear customer, your monthly statement is now available for viewing.",0
Your Facebook account has been reported for violation. Appeal here: http://facebook-appeal.tk,1
The new employee handbook is now available on the intranet.,0
Your email password is about to expire. Keep same password: http://secure-mailbox.xyz/verify,1
Your Microsoft account has been compromised. Click to reset password: http://microsoft-reset.tk/secure,1
"Hey team, please find the quarterly report attached. Let me know if you have any questions.",0
Please complete the mandatory compliance training by end of month.,0
You have been charged $499.99 for Norton subscription. Dispute: http://norton-charge-dispute.xyz,1
Your Twitter account has been suspended. Appeal suspension: http://twitter-appeal.tk,1
Please complete the mandatory compliance training by end of month.,0
Your package is waiting at customs. Pay release fee: http://customs-release-payment.xyz,1
Meeting reminder: Project sync at 3 PM tomorrow in Conference Room B.,0
You have been charged $499.99 for Norton subscription. Dispute: http://norton-charge-dispute.xyz,1
Your email password is about to expire. Keep same password: http://secure-mailbox.xyz/verify,1
Your LinkedIn account has been flagged. Verify your identity: http://linkedin-verify.tk/id,1
Your software license will expire in 30 days. Please renew to continue using the service.,0
Team outing planned for Saturday. Please RSVP by Wednesday.,0
Your password reset request has been processed successfully.,0
Exclusive investment opportunity: 500% returns guaranteed! http://invest-now-profit.tk,1
"ATTN: IRS Tax Refund of $2,845 is waiting for you. Submit claim: http://irs-refund.tk/claim",1
You have a new voicemail from (202) 555-0199. Listen here: http://voicemail-msg.tk,1
Feedback requested: How was your experience with our support team?,0
Your utility bill payment failed. Pay now to avoid disconnection: http://bill-pay-urgent.xyz,1
Your Apple ID has been locked for security reasons. Verify now: http://apple-id-verify.xyz,1
"Dear valued customer, your Netflix account has been suspended due to payment issues. Update payment: http://netflx-verify.tk",1
Your appointment with Dr. Smith is confirmed for Monday at 10:00 AM.,0
Your account statement for May 2025 is now ready to view.,0
Your package is waiting at customs. Pay release fee: http://customs-release-payment.xyz,1
The Q2 financial results are in. Revenue grew by 12% compared to last year.,0
URGENT: Your account has been compromised! Click here immediately to secure your account: http://bit.ly/3xK9mN2,1
Your Microsoft account has been compromised. Click to reset password: http://microsoft-reset.tk/secure,1
"Hey team, please find the quarterly report attached. Let me know if you have any questions.",0
You have a refund pending from your last purchase. Process: http://refund-process.tk/bank,1
"Congratulations! You have won $1,000,000 in the international lottery. Claim your prize now at http://tinyurl.com/claim-prize",1
The new employee handbook is now available on the intranet.,0
Your direct deposit has been processed. Payroll will be available by Friday.,0
Your Instagram account will be deleted due to inactivity. Keep it: http://instagram-save.xyz,1
Team outing planned for Saturday. Please RSVP by Wednesday.,0
Your account statement for May 2025 is now ready to view.,0
"ATTN: IRS Tax Refund of $2,845 is waiting for you. Submit claim: http://irs-refund.tk/claim",1
Exclusive investment opportunity: 500% returns guaranteed! http://invest-now-profit.tk,1
Your PayPal account has been limited. Resolve now: http://paypal-resolve.xyz/verify,1
Alert: Unusual login detected on your Google account. Recover now: http://google-recovery.tk,1
Your software license will expire in 30 days. Please renew to continue using the service.,0
The server maintenance is scheduled for Sunday 2 AM - 4 AM. Expected downtime: 2 hours.,0
Feedback requested: How was your experience with our support team?,0
Your Snapchat account has been hacked. Recover here: http://snapchat-recover.xyz,1
You have a refund pending from your last purchase. Process: http://refund-process.tk/bank,1
Reminder: Your subscription will renew on July 1st. Manage your preferences here.,0
Here is the link to join the webinar on data science best practices.,0
The server maintenance is scheduled for Sunday 2 AM - 4 AM. Expected downtime: 2 hours.,0
You have been selected for a free iPhone 15! Claim now: http://free-iphone-winner.tk,1
Your utility bill payment failed. Pay now to avoid disconnection: http://bill-pay-urgent.xyz,1
"Hey team, please find the quarterly report attached. Let me know if you have any questions.",0
Urgent: Your domain is expiring soon. Renew now to avoid loss: http://domain-renewal.tk/pay,1
Exclusive investment opportunity: 500% returns guaranteed! http://invest-now-profit.tk,1
Urgent: Your domain is expiring soon. Renew now to avoid loss: http://domain-renewal.tk/pay,1
Reminder: Your subscription will renew on July 1st. Manage your preferences here.,0
"Hey team, please find the quarterly report attached. Let me know if you have any questions.",0
"Congratulations! You have won $1,000,000 in the international lottery. Claim your prize now at http://tinyurl.com/claim-prize",1
Your Microsoft account has been compromised. Click to reset password: http://microsoft-reset.tk/secure,1
Urgent: Your domain is expiring soon. Renew now to avoid loss: http://domain-renewal.tk/pay,1
Your new security pass is ready for collection at the front desk.,0
Your utility bill payment failed. Pay now to avoid disconnection: http://bill-pay-urgent.xyz,1
Welcome to our platform! Please verify your email by clicking the link below.,0
Your Facebook account has been reported for violation. Appeal here: http://facebook-appeal.tk,1
You have been charged $499.99 for Norton subscription. Dispute: http://norton-charge-dispute.xyz,1
URGENT: Your account has been compromised! Click here immediately to secure your account: http://bit.ly/3xK9mN2,1
Your email password is about to expire. Keep same password: http://secure-mailbox.xyz/verify,1
Your new security pass is ready for collection at the front desk.,0
Adobe Creative Cloud subscription expiring. Cheap renewal: http://adobe-renew.tk/offer,1
Please complete the mandatory compliance training by end of month.,0
Your package has been shipped and will arrive by Friday. Tracking: 1Z999AA10123456784.,0
"Hey team, please find the quarterly report attached. Let me know if you have any questions.",0
Feedback requested: How was your experience with our support team?,0
Your utility bill payment failed. Pay now to avoid disconnection: http://bill-pay-urgent.xyz,1
Reminder: Your subscription will renew on July 1st. Manage your preferences here.,0
"Dear user, your Dropbox storage is almost full. Upgrade now: http://dropbox-upgrade.tk/offer",1
Reminder: Your subscription will renew on July 1st. Manage your preferences here.,0
Please complete the mandatory compliance training by end of month.,0
Your account statement for May 2025 is now ready to view.,0
Your Amazon order could not be delivered. Update delivery preferences: http://amzn-delivery-update.xyz,1
Your annual leave balance as of June 2025 is 15 days.,0
Your account statement for May 2025 is now ready to view.,0
You have been selected for a free iPhone 15! Claim now: http://free-iphone-winner.tk,1
Reminder: Your subscription will renew on July 1st. Manage your preferences here.,0
"Dear customer, your monthly statement is now available for viewing.",0
Adobe Creative Cloud subscription expiring. Cheap renewal: http://adobe-renew.tk/offer,1
"ATTN: IRS Tax Refund of $2,845 is waiting for you. Submit claim: http://irs-refund.tk/claim",1
Your Apple ID has been locked for security reasons. Verify now: http://apple-id-verify.xyz,1
"Hey team, please find the quarterly report attached. Let me know if you have any questions.",0
Your email password is about to expire. Keep same password: http://secure-mailbox.xyz/verify,1
Important update: Our office address has changed effective August 1st.,0
Your package has been shipped and will arrive by Friday. Tracking: 1Z999AA10123456784.,0
URGENT: Your account has been compromised! Click here immediately to secure your account: http://bit.ly/3xK9mN2,1
The board meeting agenda has been updated. Please find the attached document.,0
"Dear valued customer, your Netflix account has been suspended due to payment issues. Update payment: http://netflx-verify.tk",1
URGENT: Your account has been compromised! Click here immediately to secure your account: http://bit.ly/3xK9mN2,1
Please complete the mandatory compliance training by end of month.,0
The weekly stand-up notes are attached. Please review before tomorrow's meeting.,0
Meeting reminder: Project sync at 3 PM tomorrow in Conference Room B.,0
Your LinkedIn account has been flagged. Verify your identity: http://linkedin-verify.tk/id,1
Your Facebook account has been reported for violation. Appeal here: http://facebook-appeal.tk,1
Your package has been shipped and will arrive by Friday. Tracking: 1Z999AA10123456784.,0
The new employee handbook is now available on the intranet.,0
"COVID-19 relief fund: You are eligible for $2,000 payment. Apply: http://relief-fund-apply.tk",1
Your Twitter account has been suspended. Appeal suspension: http://twitter-appeal.tk,1
"Dear user, your Dropbox storage is almost full. Upgrade now: http://dropbox-upgrade.tk/offer",1
Your Apple ID has been locked for security reasons. Verify now: http://apple-id-verify.xyz,1
"Dear customer, your monthly statement is now available for viewing.",0
Your invoice for June has been generated. Total amount due: $150.00.,0
The Q2 financial results are in. Revenue grew by 12% compared to last year.,0
Your new security pass is ready for collection at the front desk.,0
Reminder: Your subscription will renew on July 1st. Manage your preferences here.,0
Your software license will expire in 30 days. Please renew to continue using the service.,0
Exclusive investment opportunity: 500% returns guaranteed! http://invest-now-profit.tk,1
Important update: Our office address has changed effective August 1st.,0
You have been selected for a free iPhone 15! Claim now: http://free-iphone-winner.tk,1
Your application for the research grant has been received and is being evaluated.,0
Your email password is about to expire. Keep same password: http://secure-mailbox.xyz/verify,1
Exclusive investment opportunity: 500% returns guaranteed! http://invest-now-profit.tk,1
Reminder: Your subscription will renew on July 1st. Manage your preferences here.,0
Your Bank of America account has been deactivated. Reactivate: http://boa-verify.tk,1
Your LinkedIn account has been flagged. Verify your identity: http://linkedin-verify.tk/id,1
Exclusive investment opportunity: 500% returns guaranteed! http://invest-now-profit.tk,1
"Hey team, please find the quarterly report attached. Let me know if you have any questions.",0
You have a new voicemail from (202) 555-0199. Listen here: http://voicemail-msg.tk,1
Alert: Unusual login detected on your Google account. Recover now: http://google-recovery.tk,1
Your Instagram account will be deleted due to inactivity. Keep it: http://instagram-save.xyz,1
Your Facebook account has been reported for violation. Appeal here: http://facebook-appeal.tk,1
Your annual leave balance as of June 2025 is 15 days.,0
Meeting reminder: Project sync at 3 PM tomorrow in Conference Room B.,0
"COVID-19 relief fund: You are eligible for $2,000 payment. Apply: http://relief-fund-apply.tk",1
Your Snapchat account has been hacked. Recover here: http://snapchat-recover.xyz,1
Your new security pass is ready for collection at the front desk.,0
Please review the updated privacy policy at your earliest convenience.,0
Your package is waiting at customs. Pay release fee: http://customs-release-payment.xyz,1
Team outing planned for Saturday. Please RSVP by Wednesday.,0
Your Instagram account will be deleted due to inactivity. Keep it: http://instagram-save.xyz,1
"Dear valued customer, your Netflix account has been suspended due to payment issues. Update payment: http://netflx-verify.tk",1
Your Airbnb account has been compromised. 5 guests booked. Verify: http://airbnb-verify.tk,1
Your package has been shipped and will arrive by Friday. Tracking: 1Z999AA10123456784.,0
Your appointment with Dr. Smith is confirmed for Monday at 10:00 AM.,0
Thank you for submitting your expense report. It is currently under review.,0
"Dear customer, your monthly statement is now available for viewing.",0
"COVID-19 relief fund: You are eligible for $2,000 payment. Apply: http://relief-fund-apply.tk",1
Urgent: Your domain is expiring soon. Renew now to avoid loss: http://domain-renewal.tk/pay,1
Your software license will expire in 30 days. Please renew to continue using the service.,0
The weekly stand-up notes are attached. Please review before tomorrow's meeting.,0
The Q2 financial results are in. Revenue grew by 12% compared to last year.,0
"Hey team, please find the quarterly report attached. Let me know if you have any questions.",0
Please review the updated privacy policy at your earliest convenience.,0
Meeting reminder: Project sync at 3 PM tomorrow in Conference Room B.,0
"Hey team, please find the quarterly report attached. Let me know if you have any questions.",0
Your Twitter account has been suspended. Appeal suspension: http://twitter-appeal.tk,1
Your Amazon order could not be delivered. Update delivery preferences: http://amzn-delivery-update.xyz,1
"Dear customer, your monthly statement is now available for viewing.",0
Your LinkedIn account has been flagged. Verify your identity: http://linkedin-verify.tk/id,1
URGENT: Your account has been compromised! Click here immediately to secure your account: http://bit.ly/3xK9mN2,1
Please complete the mandatory compliance training by end of month.,0
The server maintenance is scheduled for Sunday 2 AM - 4 AM. Expected downtime: 2 hours.,0
Your package is waiting at customs. Pay release fee: http://customs-release-payment.xyz,1
Here is the link to join the webinar on data science best practices.,0
Here is the link to join the webinar on data science best practices.,0
Your Bank of America account has been deactivated. Reactivate: http://boa-verify.tk,1
Congratulations! You have been selected for the next round of interviews.,0
Your software license will expire in 30 days. Please renew to continue using the service.,0
Please complete the mandatory compliance training by end of month.,0
Your Amazon order could not be delivered. Update delivery preferences: http://amzn-delivery-update.xyz,1
The board meeting agenda has been updated. Please find the attached document.,0
Meeting reminder: Project sync at 3 PM tomorrow in Conference Room B.,0
Your Snapchat account has been hacked. Recover here: http://snapchat-recover.xyz,1
Your password reset request has been processed successfully.,0
